____________________________________________________________________________________________________________________________
|     (z,r)|         0|         1|         2|         3|         4|         5|         6|         7|         8|$|         B|
|        12|  -0,02797|   0,07532|   0,02166|   0,05091|  -0,02953|   0,09354|  -0,10458|  -0,52608|  -0,25811|   0,08229|  -0,02463|  -0,73331|   1,38088|  -0,35131|  -0,11114|  -0,04747|  -0,44329|  -0,16868|  -0,25605|   0,07975|   0,00580|   0,09818|  -0,06705|   0,07975|  -0,01574|$|  -0,15638|
|        13|         0|         0|   0,07522|   0,15057|   0,08374|         0|         0|  -0,21631|  -1,16729|  -0,66366|         0|         0|  -0,35131|   1,81282|  -0,14501|         0|         0|  -0,22773|  -0,62931|  -0,17959|         0|         0|   0,04775|   0,01110|   0,05770|$|  -0,39781|
|        14|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|   8,00000|
|        15|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   0,11796|  -0,21390|  -0,04747|         0|         0|   1,67282|  -1,60246|   0,11647|         0|         0|   0,09601|  -0,28381|   0,06617|         0|         0|$|  -1,45679|
|        16|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,38661|  -0,21704|  -0,44329|         0|         0|  -1,60246|   2,05265|  -1,25137|         0|         0|  -0,15635|  -0,17377|  -0,17219|         0|         0|$|  -0,53452|
|        17|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   0,07706|  -0,23739|  -0,16868|  -0,22773|   0,05835|   0,11647|  -1,25137|   1,76785|  -0,69993|  -0,01999|  -0,05430|  -0,36336|  -0,14559|  -0,19097|   0,06822|$|  -0,41701|
|        18|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,25605|  -0,62931|  -0,47330|         0|         0|  -0,69993|   2,20541|  -0,52483|         0|         0|  -0,20069|  -0,52468|  -0,12404|$|  -1,06081|
|        19|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|$|   8,00000|
|        20|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,11710|   0,05240|   0,00580|         0|         0|   0,09601|  -0,15635|  -0,05430|         0|         0|   0,85359|  -0,73605|  -0,00016|         0|         0|$|  -0,36420|
|        21|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   0,16425|  -0,07754|   0,09818|         0|         0|  -0,28381|  -0,17377|  -0,36336|         0|         0|  -0,73605|   1,11044|  -0,60947|         0|         0|$|  -0,13363|
|        22|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,02400|   0,10587|  -0,06705|   0,04775|  -0,02226|   0,06617|  -0,17219|  -0,14559|  -0,20069|   0,01581|  -0,00016|  -0,60947|   0,96246|  -0,33698|  -0,05619|$|  -0,10425|
|        23|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   0,07975|   0,01110|   0,12060|         0|         0|  -0,19097|  -0,52468|  -0,63713|         0|         0|  -0,33698|   1,24714|  -0,21362|$|  -0,26520|
|        24|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|$|   8,00000|
____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
|     (z,r)|         0|         1|         2|         3|         4|         5|         6|         7|         8|         9|        10|        11|        12|        13|        14|        15|        16|        17|        18|        19|        20|        21|        22|        23|        24|        25|        26|        27|        28|        29|        30|        31|        32|        33|        34|        35|        36|        37|        38|        39|        40|        41|        42|        43|        44|        45|        46|        47|        48|$|         B|
|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|$|__________|
|         0|   0,79006|  -0,25189|  -0,04282|         0|         0|         0|         0|  -0,25189|  -0,44941|   0,14032|         0|         0|         0|         0|  -0,04282|   0,14032|  -0,02797|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,18210|
|         1|  -0,25189|   1,37841|  -0,15220|         0|         0|         0|         0|  -0,30362|  -0,85310|  -0,23195|         0|         0|         0|         0|   0,07260|   0,02421|   0,07532|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,06682|
|         2|  -0,04282|  -0,15220|   1,10607|  -0,17993|  -0,03058|         0|         0|   0,04870|  -0,45580|  -0,38634|  -0,32101|   0,10023|         0|         0|  -0,01165|   0,10900|  -0,05188|   0,10023|  -0,01998|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,03475|
|         3|         0|         0|  -0,17993|   1,38963|  -0,14717|         0|         0|         0|         0|  -0,30553|  -0,80631|  -0,24253|         0|         0|         0|         0|   0,07306|   0,01156|   0,07719|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,06944|
|         4|         0|         0|  -0,03058|  -0,14717|   1,10716|  -0,17975|  -0,03055|         0|         0|   0,04885|  -0,43674|  -0,38897|  -0,32070|   0,10013|         0|         0|  -0,01168|   0,10444|  -0,05140|   0,10013|  -0,01996|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,03315|
|         5|         0|         0|         0|         0|  -0,17975|   1,38966|  -0,14716|         0|         0|         0|         0|  -0,30582|  -0,80621|  -0,24255|         0|         0|         0|         0|   0,07313|   0,01153|   0,07720|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,05973|
|         6|         0|         0|         0|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|   8,00000|
|         7|  -0,25189|  -0,30362|   0,04870|         0|         0|         0|         0|   1,34367|  -1,05140|  -0,01357|         0|         0|         0|         0|  -0,13931|  -0,23642|   0,09616|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,72840|
|         8|  -0,44941|  -0,85310|  -0,45580|         0|         0|         0|         0|  -1,05140|   1,86482|  -0,74425|         0|         0|         0|         0|  -0,24889|  -0,63164|  -0,12115|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,26726|
|         9|   0,14032|  -0,23195|  -0,38634|  -0,30553|   0,04885|         0|         0|  -0,01357|  -0,74425|   1,74767|  -0,80779|  -0,01050|         0|         0|  -0,03314|  -0,45795|  -0,26472|  -0,18190|   0,07395|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,13900|
|        10|         0|         0|  -0,32101|  -0,80631|  -0,43674|         0|         0|         0|         0|  -0,80779|   2,03077|  -0,69159|         0|         0|         0|         0|  -0,26185|  -0,55277|  -0,12899|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,27778|
|        11|         0|         0|   0,10023|  -0,24253|  -0,38897|  -0,30582|   0,05398|         0|         0|  -0,01050|  -0,69159|   1,77054|  -0,80993|  -0,02101|         0|         0|  -0,03085|  -0,39868|  -0,26170|  -0,17655|   0,07156|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,13260|
|        12|         0|         0|         0|         0|  -0,32070|  -0,80621|  -0,48350|         0|         0|         0|         0|  -0,80993|   2,07646|  -0,59870|         0|         0|         0|         0|  -0,25262|  -0,56071|  -0,11619|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,23891|
|        13|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|   8,00000|
|        14|  -0,04282|   0,07260|  -0,01165|         0|         0|         0|         0|  -0,13931|  -0,24889|  -0,03314|         0|         0|         0|         0|   1,07643|  -0,55538|  -0,09332|         0|         0|         0|         0|  -0,18488|  -0,32985|   0,10299|         0|         0|         0|         0|  -0,03143|   0,10299|  -0,02053|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,36420|
|        15|   0,14032|   0,02421|   0,10900|         0|         0|         0|         0|  -0,23642|  -0,63164|  -0,45795|         0|         0|         0|         0|  -0,55538|   1,70931|  -0,36103|         0|         0|         0|         0|  -0,26779|  -0,72890|  -0,17426|         0|         0|         0|         0|   0,05465|   0,03231|   0,05819|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,13363|
|        16|  -0,02797|   0,07532|  -0,05188|   0,07306|  -0,01168|         0|         0|   0,09616|  -0,12115|  -0,26472|  -0,26185|  -0,03085|         0|         0|  -0,09332|  -0,36103|   1,47635|  -0,40481|  -0,06584|         0|         0|  -0,00208|  -0,43960|  -0,30570|  -0,24050|   0,07509|         0|         0|  -0,00359|   0,08950|  -0,03289|   0,07509|  -0,01497|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,06950|
|        17|         0|         0|   0,10023|   0,01156|   0,10444|         0|         0|         0|         0|  -0,18190|  -0,55277|  -0,39868|         0|         0|         0|         0|  -0,40481|   1,80121|  -0,32222|         0|         0|         0|         0|  -0,26583|  -0,64405|  -0,18025|         0|         0|         0|         0|   0,05416|   0,01578|   0,05819|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,13889|
|        18|         0|         0|  -0,01998|   0,07719|  -0,05140|   0,07313|  -0,01291|         0|         0|   0,07395|  -0,12899|  -0,26170|  -0,25262|  -0,02299|         0|         0|  -0,06584|  -0,32222|   1,48992|  -0,39034|  -0,05702|         0|         0|   0,00341|  -0,38822|  -0,30281|  -0,23831|   0,07441|         0|         0|  -0,00457|   0,08114|  -0,03349|   0,07441|  -0,01483|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,06630|
|        19|         0|         0|         0|         0|   0,10013|   0,01153|   0,11562|         0|         0|         0|         0|  -0,17655|  -0,56071|  -0,70170|         0|         0|         0|         0|  -0,39034|   1,84901|  -0,25510|         0|         0|         0|         0|  -0,25595|  -0,62506|  -0,17632|         0|         0|         0|         0|   0,05289|   0,01464|   0,05683|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,11946|
|        20|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|   8,00000|
|        21|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,18488|  -0,26779|  -0,00208|         0|         0|         0|         0|   1,36292|  -0,96837|  -0,02218|         0|         0|         0|         0|  -0,13955|  -0,24006|   0,08994|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,72840|
|        22|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,32985|  -0,72890|  -0,43960|         0|         0|         0|         0|  -0,96837|   1,98732|  -0,66000|         0|         0|         0|         0|  -0,23263|  -0,60298|  -0,12418|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,26726|
|        23|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   0,10299|  -0,17426|  -0,30570|  -0,26583|   0,00341|         0|         0|  -0,02218|  -0,66000|   1,81265|  -0,72056|  -0,01429|         0|         0|  -0,01882|  -0,40602|  -0,25453|  -0,18105|   0,06723|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,13900|
|        24|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,24050|  -0,64405|  -0,38822|         0|         0|         0|         0|  -0,72056|   2,13961|  -0,60226|         0|         0|         0|         0|  -0,23989|  -0,52975|  -0,13355|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,27778|
|        25|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   0,07509|  -0,18025|  -0,30281|  -0,25595|   0,02831|         0|         0|  -0,01429|  -0,60226|   1,83539|  -0,70550|  -0,01339|         0|         0|  -0,01438|  -0,35683|  -0,25198|  -0,17914|   0,06588|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,13260|
|        26|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,23831|  -0,62506|  -0,52810|         0|         0|         0|         0|  -0,70550|   2,18524|  -0,53296|         0|         0|         0|         0|  -0,23236|  -0,53185|  -0,12657|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,23891|
|        27|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|   8,00000|
|        28|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,03143|   0,05465|  -0,00359|         0|         0|         0|         0|  -0,13955|  -0,23263|  -0,01882|         0|         0|         0|         0|   1,08188|  -0,53393|  -0,08571|         0|         0|         0|         0|  -0,18395|  -0,32819|   0,10247|         0|         0|         0|         0|  -0,03127|   0,10247|  -0,02043|         0|         0|         0|         0|$|  -0,36420|
|        29|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   0,10299|   0,03231|   0,08950|         0|         0|         0|         0|  -0,24006|  -0,60298|  -0,40602|         0|         0|         0|         0|  -0,53393|   1,74244|  -0,34276|         0|         0|         0|         0|  -0,26014|  -0,71046|  -0,17237|         0|         0|         0|         0|   0,05404|   0,03027|   0,05737|         0|         0|         0|         0|$|  -0,13363|
|        30|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,02053|   0,05819|  -0,03289|   0,05416|  -0,00457|         0|         0|   0,08994|  -0,12418|  -0,25453|  -0,23989|  -0,01438|         0|         0|  -0,08571|  -0,34276|   1,48932|  -0,38564|  -0,06043|         0|         0|   0,00398|  -0,42080|  -0,30103|  -0,23841|   0,07444|         0|         0|  -0,00420|   0,08730|  -0,03340|   0,07444|  -0,01484|         0|         0|$|  -0,06950|
|        31|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   0,07509|   0,01578|   0,08114|         0|         0|         0|         0|  -0,18105|  -0,52975|  -0,35683|         0|         0|         0|         0|  -0,38564|   1,82345|  -0,31089|         0|         0|         0|         0|  -0,25838|  -0,63322|  -0,17898|         0|         0|         0|         0|   0,05374|   0,01466|   0,05766|         0|         0|$|  -0,13889|
|        32|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,01497|   0,05819|  -0,03349|   0,05289|  -0,01052|         0|         0|   0,06723|  -0,13355|  -0,25198|  -0,23236|  -0,00453|         0|         0|  -0,06043|  -0,31089|   1,49971|  -0,37676|  -0,05599|         0|         0|   0,00823|  -0,37763|  -0,29950|  -0,23675|   0,07392|         0|         0|  -0,00494|   0,07996|  -0,03376|   0,07392|  -0,01474|$|  -0,06630|
|        33|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   0,07441|   0,01464|   0,11884|         0|         0|         0|         0|  -0,17914|  -0,53185|  -0,64387|         0|         0|         0|         0|  -0,37676|   1,86125|  -0,25486|         0|         0|         0|         0|  -0,25139|  -0,61889|  -0,17580|         0|         0|         0|         0|   0,05273|   0,01390|   0,05658|$|  -0,11946|
|        34|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|   8,00000|
|        35|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,18395|  -0,26014|   0,00398|         0|         0|         0|         0|   1,36453|  -0,95728|  -0,01962|         0|         0|         0|         0|  -0,13975|  -0,24088|   0,08953|         0|         0|         0|         0|$|  -0,72840|
|        36|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,32819|  -0,71046|  -0,42080|         0|         0|         0|         0|  -0,95728|   2,00364|  -0,64732|         0|         0|         0|         0|  -0,23081|  -0,59963|  -0,12445|         0|         0|         0|         0|$|  -0,26726|
|        37|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   0,10247|  -0,17237|  -0,30103|  -0,25838|   0,00823|         0|         0|  -0,01962|  -0,64732|   1,81930|  -0,71181|  -0,01283|         0|         0|  -0,01651|  -0,39957|  -0,25338|  -0,18113|   0,06682|         0|         0|$|  -0,13900|
|        38|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,23841|  -0,63322|  -0,37763|         0|         0|         0|         0|  -0,71181|   2,14789|  -0,59618|         0|         0|         0|         0|  -0,23801|  -0,52816|  -0,13374|         0|         0|$|  -0,27778|
|        39|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   0,07444|  -0,17898|  -0,29950|  -0,25139|   0,03003|         0|         0|  -0,01283|  -0,59618|   1,83871|  -0,70115|  -0,01307|         0|         0|  -0,01287|  -0,35418|  -0,25144|  -0,17916|   0,06563|$|  -0,13260|
|        40|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,23675|  -0,61889|  -0,52605|         0|         0|         0|         0|  -0,70115|   2,18856|  -0,53148|         0|         0|         0|         0|  -0,23153|  -0,53105|  -0,12680|$|  -0,23891|
|        41|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|$|   8,00000|
|        42|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,03127|   0,05404|  -0,00420|         0|         0|         0|         0|  -0,13975|  -0,23081|  -0,01651|         0|         0|         0|         0|   0,73973|  -0,50794|  -0,07855|         0|         0|         0|         0|$|  -0,18210|
|        43|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   0,10247|   0,03027|   0,08730|         0|         0|         0|         0|  -0,24088|  -0,59963|  -0,39957|         0|         0|         0|         0|  -0,50794|   1,05318|  -0,37025|         0|         0|         0|         0|$|  -0,06682|
|        44|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,02043|   0,05737|  -0,03340|   0,05374|  -0,00494|         0|         0|   0,08953|  -0,12445|  -0,25338|  -0,23801|  -0,01287|         0|         0|  -0,07855|  -0,37025|   0,97616|  -0,38219|  -0,05709|         0|         0|$|  -0,03475|
|        45|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   0,07444|   0,01466|   0,07996|         0|         0|         0|         0|  -0,18113|  -0,52816|  -0,35418|         0|         0|         0|         0|  -0,38219|   1,16963|  -0,31246|         0|         0|$|  -0,06944|
|        46|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,01484|   0,05766|  -0,03376|   0,05273|  -0,01055|         0|         0|   0,06682|  -0,13374|  -0,25144|  -0,23153|  -0,00371|         0|         0|  -0,05709|  -0,31246|   1,00043|  -0,36510|  -0,05014|$|  -0,03315|
|        47|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   0,07392|   0,01390|   0,11855|         0|         0|         0|         0|  -0,17916|  -0,53105|  -0,64267|         0|         0|         0|         0|  -0,36510|   1,22898|  -0,22181|$|  -0,05973|
|        48|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|$|   8,00000|
